Date,Dow Jones,MSCI World,Fundsmith Equity,LindsellTrain Global Eq
08/09/2016,18479.91,1744.44,289.55,2.3372
09/09/2016,18085.45,1707.94,288.64,2.3205
12/09/2016,18325.07,1715.76,282.67,2.2835
13/09/2016,18066.75,1694.83,286.26,2.2949
14/09/2016,18034.77,1692.53,285.39,2.29
15/09/2016,18212.48,1704.84,285.34,2.2942
16/09/2016,18123.8,1696.31,288.41,2.3199
19/09/2016,18120.17,1703.08,290.69,2.3385
20/09/2016,18129.96,1703.23,293.11,2.3598
21/09/2016,18293.7,1721.69,292.17,2.3612
22/09/2016,18392.46,1740.55,294.33,2.3771
23/09/2016,18261.45,1729.7,297.07,2.3856
26/09/2016,18094.83,1714.85,295.68,2.3759
27/09/2016,18228.3,1719.88,294.13,2.3759
28/09/2016,18339.24,1725.63,294.33,2.3738
29/09/2016,18143.45,1719.77,294.47,2.3756
30/09/2016,18308.15,1725.67,292.54,2.3622
03/10/2016,18253.85,1722.82,297.12,2.4043
04/10/2016,18168.45,1717.82,300.16,2.4287
05/10/2016,18281.03,1721.14,298.14,2.4173
06/10/2016,18268.5,1718.4,298.15,2.4061
07/10/2016,18240.49,1712.4,303.66,2.4485
10/10/2016,18329.04,1719.29,302.34,2.4304
11/10/2016,18128.66,1700.33,306.99,2.4562
12/10/2016,18144.2,1695.54,302.59,2.4267
13/10/2016,18098.94,1689.62,302.68,2.4231
14/10/2016,18138.38,1693.71,302.42,2.4202
17/10/2016,18086.4,1687.84,302.68,2.4157
18/10/2016,18161.94,1701.1,301.4,2.4066
19/10/2016,18202.62,1706.74,301.24,2.4092
20/10/2016,18162.35,1704.04,301.62,2.4274
21/10/2016,18145.71,1701.16,301.63,2.4152
24/10/2016,18223.03,1706.24,302.08,2.4224
25/10/2016,18169.27,1701.2,303.34,2.4293
26/10/2016,18199.33,1699.92,300.03,2.4169
27/10/2016,18169.68,1694.66,297.88,2.4075
28/10/2016,18161.19,1690.96,299.36,2.4178
31/10/2016,18142.42,1690.92,299.82,2.4178
01/11/2016,18037.1,1683.96,298.94,2.3942
02/11/2016,17959.64,1672.83,295.38,2.3806
03/11/2016,17930.67,1667.03,291.18,2.3375
04/11/2016,17888.28,1660.12,289.76,2.3094
07/11/2016,18259.6,1685.62,291.56,2.3159
08/11/2016,18332.74,1691.74,294.73,2.3324
09/11/2016,18589.69,1696.46,294.3,2.3028
10/11/2016,18807.88,1701.29,292.03,2.3127
11/11/2016,18847.66,1696.99,283.19,2.2563
14/11/2016,18868.69,1692.31,282.73,2.2679
